Player,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Kole Sherwood,R,R,1997-01-22,Columbus,OH,USA,USA,73,212,--,--,--,20182019,N,11,0,1,1
Hunter Shinkaruk,L,C,1994-10-13,Calgary,AB,CAN,CAN,70,181,2013,1,24,20152016,N,15,2,2,4
Brendan Shinnimin,L,C,1991-01-07,Winnipeg,MB,CAN,CAN,70,185,--,--,--,20142015,N,12,0,1,1
Vadim Shipachyov,L,C,1987-03-12,Cherepovets,--,RUS,RUS,72,187,--,--,--,20172018,N,3,1,0,1
Sergei Shirokov,R,L,1986-03-10,Moscow,--,RUS,RUS,70,195,2006,6,163,20092010,N,8,1,0,1
Devin Shore,L,C,1994-07-19,Ajax,ON,CAN,CAN,73,206,2012,2,61,20152016,N,323,44,71,115
Drew Shore,R,C,1991-01-29,Denver,CO,USA,USA,74,209,2009,2,44,20122013,N,97,9,17,26
Nicholas Shore,R,C,1992-09-26,Denver,CO,USA,USA,73,198,2011,3,82,20142015,N,299,18,41,59
Justin Shugg,R,R,1991-12-24,Niagara Falls,ON,CAN,CAN,71,185,2010,4,105,20142015,N,3,0,0,0
Jonas Siegenthaler,L,D,1997-05-06,Zurich,--,CHE,CHE,75,211,2015,2,57,20182019,N,103,2,11,13
Patrick Sieloff,L,D,1994-05-15,Ann Arbor,MI,USA,USA,73,205,2012,2,42,20152016,N,2,2,0,2
Duncan Siemens,L,D,1993-09-07,Edmonton,AB,CAN,CAN,75,210,2011,1,11,20142015,N,20,1,1,2
Jaime Sifers,R,D,1983-01-18,Stratford,CT,USA,USA,71,198,--,--,--,20082009,N,14,0,0,0
Dylan Sikura,L,C,1995-06-01,Aurora,ON,CAN,CAN,71,170,2014,6,178,20172018,N,52,1,13,14
Jakob Silfverberg,R,R,1990-10-13,Gävle,--,SWE,SWE,72,208,2009,2,39,20122013,N,605,146,161,307
Zach Sill,L,C,1988-05-24,Truro,NS,CAN,CAN,72,214,--,--,--,20132014,N,93,2,3,5
Jon Sim,L,L,1977-09-29,New Glasgow,NS,CAN,CAN,70,189,1996,3,70,19981999,N,111,14,12,26
Radim Simek,L,D,1992-09-20,Mlada Boleslav,--,CZE,CZE,71,200,--,--,--,20182019,N,129,5,19,24
Wayne Simmonds,R,R,1988-08-26,Scarborough,ON,CAN,CAN,74,185,2007,2,61,20082009,N,861,249,236,485
Dominik Simon,L,C,1994-08-08,Prague,--,CZE,CZE,71,190,2015,5,137,20152016,N,182,19,45,64
Dillon Simpson,L,D,1993-02-10,Edmonton,AB,CAN,CAN,74,191,2011,4,92,20162017,N,3,0,0,0
Shane Sims,R,D,1988-04-30,East Amherst,NY,USA,USA,73,195,2006,5,126,20102011,N,1,0,0,0
Mike Sislo,R,R,1988-01-20,Superior,WI,USA,USA,71,190,--,--,--,20132014,N,42,3,2,5
Colton Sissons,R,C,1993-11-05,North Vancouver,BC,CAN,CAN,73,200,2012,2,50,20132014,N,374,54,53,107
Fredrik Sjostrom,L,L,1983-05-06,Färgelanda,--,SWE,SWE,73,218,2001,1,11,20032004,N,131,5,11,16
Jack Skille,R,R,1987-05-19,Madison,WI,USA,USA,73,216,2005,1,7,20072008,N,344,39,39,78
Jeff Skinner,L,L,1992-05-16,Toronto,ON,CAN,CAN,71,197,2010,1,7,20102011,N,770,264,213,477
Brady Skjei,L,D,1994-03-26,Lakeville,MN,USA,USA,75,210,2012,1,28,20152016,N,362,28,95,123
Martin Skoula,L,D,1979-10-28,Litomerice,--,CZE,CZE,75,226,1998,1,17,19992000,N,52,3,8,11
Karlis Skrastins,L,D,1974-07-09,Riga,--,LVA,LVA,74,208,1998,9,230,19981999,N,153,5,16,21
Jim Slater,L,C,1982-12-09,Lapeer,MI,USA,USA,72,195,2002,1,30,20052006,N,310,36,32,68
Jaccob Slavin,L,D,1994-05-01,Denver,CO,USA,USA,75,207,2012,4,120,20152016,N,426,32,133,165
Anton Slepyshev,R,L,1994-05-13,Penza,--,RUS,RUS,74,221,2013,3,88,20152016,N,102,10,13,23
Tyler Sloan,L,D,1981-03-15,Calgary,AB,CAN,CAN,76,214,--,--,--,20082009,N,73,3,9,12
Matt Smaby,L,D,1984-10-14,Minneapolis,MN,USA,USA,78,230,2003,2,41,20072008,N,65,0,2,2
Ladislav Smid,L,D,1986-02-01,Frydlant,--,CZE,CZE,76,210,2004,1,9,20062007,N,381,9,38,47
Ben Smith,R,R,1988-07-11,Winston-Salem,NC,USA,USA,71,203,2008,6,169,20102011,N,237,29,25,54
Brendan Smith,L,D,1989-02-08,Mimico,ON,CAN,CAN,74,200,2007,1,27,20112012,N,524,29,81,110
C.J. Smith,L,L,1994-12-01,Des Moines,IA,USA,USA,71,184,--,--,--,20162017,N,14,2,1,3
Cole Smith,L,L,1995-10-28,Brainerd,MN,USA,USA,75,195,--,--,--,20202021,N,1,0,0,0
Colin Smith,R,C,1993-06-20,Edmonton,AB,CAN,CAN,70,185,2012,7,192,20142015,N,1,0,0,0
Craig Smith,R,C,1989-09-05,Madison,WI,USA,USA,72,206,2009,4,98,20112012,N,711,175,187,362
Dalton Smith,L,L,1992-06-30,Markham,ON,CAN,CAN,74,206,2010,2,34,20192020,N,1,0,0,0
Derek Smith,L,D,1984-10-13,Belleville,ON,CAN,CAN,73,197,--,--,--,20092010,N,94,2,12,14
Gemel Smith,L,C,1994-04-16,Toronto,ON,CAN,CAN,70,203,2012,4,104,20162017,N,87,12,12,24
Givani Smith,L,R,1998-02-27,Toronto,ON,CAN,CAN,74,210,2016,2,46,20192020,N,36,3,4,7
Nathan Smith,L,C,1982-02-09,Edmonton,AB,CAN,CAN,74,206,2000,1,23,20032004,N,9,0,0,0
Reilly Smith,L,R,1991-04-01,Mimico,ON,CAN,CAN,73,182,2009,3,69,20112012,N,624,153,218,371
Trevor Smith,L,C,1985-02-08,Ottawa,ON,CAN,CAN,73,195,--,--,--,20082009,N,100,8,11,19
Ty Smith,L,D,2000-03-24,Lloydminster,AB,CAN,CAN,71,175,2018,1,17,20202021,N,48,2,21,23
Zack Smith,L,C,1988-04-05,Maple Creek,SK,CAN,CAN,74,208,2008,3,79,20082009,N,661,98,106,204
Devante Smith-Pelly,R,R,1992-06-14,Scarborough,ON,CAN,CAN,72,223,2010,2,42,20112012,N,395,44,57,101
Jerred Smithson,R,C,1979-02-04,Vernon,BC,CAN,CAN,75,209,--,--,--,20022003,N,283,18,20,38
Radek Smolenak,L,L,1986-12-03,Prague,--,CZE,CZE,74,207,2005,3,73,20082009,N,1,0,0,0
Ryan Smyth,L,L,1976-02-21,Banff,AB,CAN,CAN,74,191,1994,1,6,19941995,N,350,76,106,182
Carl Sneep,R,D,1987-11-05,St. Louis Park,MN,USA,USA,76,210,2006,2,32,20112012,N,1,0,1,1
Vladimir Sobotka,L,C,1987-07-02,Trebic,--,CZE,CZE,71,191,2005,4,106,20072008,N,475,51,108,159
Carl Soderberg,L,C,1985-10-12,Malmö,--,SWE,SWE,75,210,2004,2,49,20122013,N,593,110,187,297
Victor Soderstrom,R,D,2001-02-26,Gavle,--,SWE,SWE,71,179,2019,1,11,20202021,N,2,0,0,0
Brent Sopel,R,D,1977-01-07,Calgary,AB,CAN,CAN,74,205,1995,6,144,19981999,N,144,3,12,15
Marcus Sorensen,L,L,1992-04-07,Sodertalje,--,SWE,SWE,71,175,2010,4,106,20162017,N,226,31,33,64
Nick Sorensen,R,R,1994-10-23,Farevejle,--,DNK,DNK,73,182,2013,2,45,20162017,N,5,0,1,1
Nikita Soshnikov,L,R,1993-10-14,Nizhny Tagil,--,RUS,RUS,71,185,--,--,--,20152016,N,87,8,8,16
Carson Soucy,L,D,1994-07-27,Viking,AB,CAN,CAN,77,211,2013,5,137,20172018,N,102,8,23,31
Sheldon Souray,L,D,1976-07-13,Elk Point,AB,CAN,CAN,76,231,1994,3,71,19971998,N,145,17,34,51
Jaroslav Spacek,L,D,1974-02-11,Rokycany,--,CZE,CZE,72,210,1998,5,117,19981999,N,179,9,43,52
Nick Spaling,L,C,1988-09-19,Palmerston,ON,CAN,CAN,73,198,2007,2,58,20092010,N,437,52,72,124
Blake Speers,R,C,1997-01-02,Sault Ste. Marie,ON,CAN,CAN,71,185,2015,3,67,20162017,N,3,0,0,0
Jason Spezza,R,C,1983-06-13,Toronto,ON,CAN,CAN,75,216,2001,1,2,20022003,N,769,203,347,550
Ryan Spooner,L,C,1992-01-30,Ottawa,ON,CAN,CAN,71,191,2010,2,45,20122013,N,325,48,119,167
Daniel Sprong,R,R,1997-03-17,Amsterdam,--,NLD,NLD,72,200,2015,2,46,20152016,N,136,31,18,49
Ryan Sproul,R,D,1993-01-13,Mississauga,ON,CAN,CAN,76,205,2011,2,55,20132014,N,44,2,10,12
Jared Spurgeon,R,D,1989-11-29,Edmonton,AB,CAN,CAN,69,167,2008,6,156,20102011,N,702,88,213,301
Martin St Pierre,L,C,1983-08-11,Ottawa,ON,CAN,CAN,69,188,--,--,--,20052006,N,4,0,0,0
Frédéric St-Denis,L,D,1986-01-23,Greenfield Park,QC,CAN,CAN,71,192,--,--,--,20112012,N,21,1,3,4
Martin St. Louis,L,R,1975-06-18,Laval,QC,CAN,CAN,68,180,--,--,--,19981999,Y,444,153,295,448
Eric Staal,L,C,1984-10-29,Thunder Bay,ON,CAN,CAN,76,195,2003,1,2,20032004,N,880,277,398,675
Jared Staal,R,R,1990-08-21,Thunder Bay,ON,CAN,CAN,76,210,2008,2,49,20122013,N,2,0,0,0
Jordan Staal,L,C,1988-09-10,Thunder Bay,ON,CAN,CAN,76,220,2006,1,2,20062007,N,766,178,278,456
Marc Staal,L,D,1987-01-13,Thunder Bay,ON,CAN,CAN,76,209,2005,1,12,20072008,N,784,41,132,173
Drew Stafford,R,R,1985-10-30,Milwaukee,WI,USA,USA,74,215,2004,1,13,20062007,N,657,147,171,318
Garrett Stafford,R,D,1980-01-28,Los Angeles,CA,USA,USA,73,207,--,--,--,20072008,N,2,0,0,0
Steve Staios,R,D,1973-07-28,Hamilton,ON,CAN,CAN,73,200,1991,2,27,19951996,N,162,4,24,28
Matt Stajan,L,C,1983-12-19,Mississauga,ON,CAN,CAN,73,195,2002,2,57,20022003,N,613,75,156,231
Viktor Stalberg,L,L,1986-01-17,Gothenburg,--,SWE,SWE,75,209,2006,6,161,20092010,N,488,82,86,168
Steven Stamkos,R,C,1990-02-07,Markham,ON,CAN,CAN,73,193,2008,1,1,20082009,N,762,416,404,820
Logan Stanley,L,D,1998-05-26,Waterloo,ON,CAN,CAN,79,228,2016,1,18,20202021,N,34,1,3,4
Ryan Stanton,L,D,1989-07-20,St. Albert,AB,CAN,CAN,74,205,--,--,--,20122013,N,120,4,23,27
Tim Stapleton,R,C,1982-07-19,Forest Park,IL,USA,USA,69,180,--,--,--,20082009,N,114,18,18,36
Paul Stastny,L,C,1985-12-27,Quebec City,QC,CAN,USA,72,193,2005,2,44,20062007,N,803,200,369,569
Yan Stastny,L,C,1982-09-30,Quebec City,QC,CAN,CAN,70,191,2002,8,259,20052006,N,4,1,0,1
Brad Staubitz,R,R,1984-07-28,Edmonton,AB,CAN,CAN,73,207,--,--,--,20082009,N,195,9,9,18
Troy Stecher,R,D,1994-04-07,Richmond,BC,CAN,CAN,70,186,--,--,--,20162017,N,328,14,72,86
David Steckel,L,C,1982-03-15,Milwaukee,WI,USA,USA,78,215,2001,1,30,20052006,N,270,20,28,48
Sam Steel,L,C,1998-02-03,Ardrossan,AB,CAN,CAN,71,189,2016,1,30,20182019,N,126,18,27,45
Alexander Steen,L,L,1984-03-01,Winnipeg,MB,CAN,SWE,72,211,2002,1,24,20052006,N,704,189,283,472
Oskar Steen,R,C,1998-03-09,Karlstad,--,SWE,SWE,69,188,2016,6,165,20202021,N,2,0,0,0
Lee Stempniak,R,R,1983-02-04,West Seneca,NY,USA,USA,71,195,2003,5,148,20052006,N,617,135,173,308
Kevin Stenlund,R,C,1996-09-20,Stockholm,--,SWE,SWE,76,215,2015,2,58,20182019,N,66,11,9,20
Derek Stepan,R,C,1990-06-18,Hastings,MN,USA,USA,71,196,2008,2,51,20102011,N,759,168,317,485
Mitchell Stephens,R,C,1997-02-05,Peterborough,ON,CAN,CAN,71,190,2015,2,33,20192020,N,43,3,4,7
Chandler Stephenson,L,C,1994-04-22,Saskatoon,SK,CAN,CAN,72,199,2012,3,77,20152016,N,254,34,52,86
Brett Sterling,L,L,1984-04-24,Los Angeles,CA,USA,USA,67,175,2003,5,145,20072008,N,11,3,2,5
Anthony Stewart,R,R,1985-01-05,LaSalle,QC,CAN,CAN,75,230,2003,1,25,20052006,N,157,23,36,59
Chris Stewart,R,R,1987-10-30,Toronto,ON,CAN,CAN,74,242,2006,1,18,20082009,N,615,149,154,303
Gregory Stewart,L,L,1986-05-21,Kitchener,ON,CAN,CAN,74,202,2004,8,246,20072008,N,5,0,0,0
Cory Stillman,L,L,1973-12-20,Peterborough,ON,CAN,CAN,72,193,1992,1,6,19941995,N,123,27,49,76
Riley Stillman,L,D,1998-03-09,Peterborough,ON,CAN,CAN,73,196,2016,4,114,20182019,N,52,0,5,5
Ryan Stoa,L,C,1987-04-13,Bloomington,MN,USA,USA,75,200,2005,2,34,20092010,N,40,4,3,7
Jarret Stoll,R,C,1982-06-24,Melville,SK,CAN,CAN,73,216,2002,2,36,20022003,N,512,67,115,182
Karl Stollery,L,D,1987-11-21,Camrose,AB,CAN,CAN,71,180,--,--,--,20132014,N,23,0,3,3
Mark Stone,R,R,1992-05-13,Winnipeg,MB,CAN,CAN,75,202,2010,6,178,20122013,N,498,169,273,442
Michael Stone,R,D,1990-06-07,Winnipeg,MB,CAN,CAN,75,210,2008,3,69,20112012,N,487,32,94,126
Ryan Stone,L,C,1985-03-20,Calgary,AB,CAN,CAN,74,207,2003,2,32,20072008,N,27,0,6,6
Clayton Stoner,L,D,1985-02-19,Port McNeill,BC,CAN,CAN,76,216,2004,3,79,20092010,N,360,7,41,48
Zack Stortini,R,R,1985-09-11,Elliot Lake,ON,CAN,CAN,74,219,2003,3,94,20062007,N,110,4,13,17
Tyson Strachan,R,D,1984-10-30,Melfort,SK,CAN,CAN,75,210,2003,5,137,20082009,N,156,1,16,17
Brian Strait,L,D,1988-01-04,Waltham,MA,USA,USA,73,206,2006,3,65,20102011,N,187,6,23,29
Petr Straka,L,R,1992-06-15,Plzen,--,CZE,CZE,73,185,2010,2,55,20142015,N,3,0,2,2
Anton Stralman,R,D,1986-08-01,Tibro,--,SWE,SWE,71,186,2005,7,216,20072008,N,767,51,197,248
Austin Strand,R,D,1997-02-17,Calgary,AB,CAN,CAN,75,216,--,--,--,20202021,N,13,0,1,1
Ben Street,L,C,1987-02-13,Coquitlam,BC,CAN,CAN,72,190,--,--,--,20122013,N,59,3,6,9
Mark Streit,L,D,1977-12-11,Bern,--,CHE,CHE,71,186,2004,9,262,20052006,N,507,55,214,269
Dylan Strome,L,C,1997-03-07,Mississauga,ON,CAN,CAN,75,200,2015,1,3,20162017,N,202,44,76,120
Ryan Strome,R,C,1993-07-11,Mississauga,ON,CAN,CAN,73,193,2011,1,5,20132014,N,544,109,192,301
Jason Strudwick,L,D,1975-07-17,Edmonton,AB,CAN,CAN,76,226,1994,3,63,19951996,N,115,0,8,8
Brad Stuart,L,D,1979-11-06,Rocky Mountain House,AB,CAN,CAN,74,215,1998,1,3,19992000,N,410,19,72,91
Colin Stuart,L,L,1982-07-08,Rochester,MN,USA,USA,74,205,2001,5,135,20072008,N,5,0,0,0
Mark Stuart,L,D,1984-04-27,Rochester,MN,USA,USA,74,215,2003,1,21,20052006,N,477,16,49,65
Marian Studenic,L,R,1998-10-28,Skalica,--,SVK,SVK,73,164,2017,5,143,20202021,N,6,1,0,1
Jack Studnicka,R,C,1999-02-18,Windsor,ON,CAN,CAN,73,171,2017,2,53,20192020,N,21,1,3,4
Marco Sturm,L,L,1978-09-08,Dingolfing,--,DEU,DEU,72,196,1996,1,21,19971998,N,159,30,28,58
Nico Sturm,L,C,1995-05-03,Augsburg,--,DEU,DEU,75,207,--,--,--,20182019,N,52,9,7,16
Tim Stützle,L,L,2002-01-15,Viersen,--,DEU,DEU,73,187,2020,1,3,20202021,N,49,9,17,26
P.K. Subban,R,D,1989-05-13,Toronto,ON,CAN,CAN,72,210,2007,2,43,20092010,N,757,110,335,445
CJ Suess,L,L,1994-03-17,St. Paul,MN,USA,USA,71,190,2014,5,129,20192020,N,1,0,0,0
Libor Sulak,L,D,1994-03-04,Pelhrimov,--,CZE,CZE,74,207,--,--,--,20182019,N,6,0,0,0
Steve Sullivan,R,L,1974-07-06,Timmins,ON,CAN,CAN,69,165,1994,9,233,19951996,N,247,51,87,138
Alexander Sulzer,L,D,1984-05-30,Kaufbeuren,--,DEU,DEU,73,198,2003,3,92,20082009,N,129,7,15,22
Chris Summers,L,D,1988-02-05,Ann Arbor,MI,USA,USA,74,207,2006,1,29,20102011,N,70,2,7,9
Oskar Sundqvist,R,C,1994-03-23,Boden,--,SWE,SWE,75,209,2012,3,81,20152016,N,229,32,40,72
Johan Sundstrom,R,C,1992-09-21,Gothenburg,--,SWE,SWE,75,201,2011,2,50,20132014,N,11,0,1,1
Antti Suomela,L,C,1994-03-17,Espoo,--,FIN,FIN,72,180,--,--,--,20182019,N,51,4,11,15
Maksim Sushko,L,R,1999-02-10,Drahichyn,--,BLR,BLR,72,206,2017,4,107,20202021,N,2,0,0,0
Andrej Sustr,R,D,1990-11-29,Plzen,--,CZE,CZE,79,217,--,--,--,20122013,N,323,10,53,63
Pius Suter,L,C,1996-05-24,Zurich,--,CHE,CHE,71,176,--,--,--,20202021,N,51,13,10,23
Ryan Suter,L,D,1985-01-21,Madison,WI,USA,USA,73,205,2003,1,7,20052006,N,881,69,421,490
Brian Sutherby,L,C,1982-03-01,Edmonton,AB,CAN,CAN,74,208,2000,1,26,20012002,N,97,7,6,13
Brandon Sutter,R,C,1989-02-14,Huntington,NY,USA,CAN,75,190,2007,1,11,20082009,N,720,151,132,283
Brett Sutter,L,L,1987-06-02,Viking,AB,CAN,CAN,72,200,2005,6,179,20082009,N,56,1,8,9
Brody Sutter,R,C,1991-09-26,Viking,AB,CAN,CAN,77,203,2011,7,193,20142015,N,12,0,0,0
Andy Sutton,L,D,1975-03-10,Kingston,ON,CAN,CAN,78,245,--,--,--,19981999,N,163,8,19,27
Nick Suzuki,R,C,1999-08-10,London,ON,CAN,CAN,71,208,2017,1,13,20192020,N,122,25,53,78
Marek Svatos,R,R,1982-06-17,Kosice,--,SVK,SVK,70,185,2001,7,227,20032004,N,82,11,8,19
Andrei Svechnikov,L,R,2000-03-26,Barnaul,--,RUS,RUS,74,195,2018,1,2,20182019,N,202,57,80,137
Evgeny Svechnikov,L,R,1996-10-31,Yuzhno-Sakhalinsk,--,RUS,RUS,75,208,2015,1,19,20162017,N,40,5,6,11
Viktor Svedberg,L,D,1991-05-24,Gothenburg,--,SWE,SWE,80,238,--,--,--,20152016,N,27,2,2,4
Bill Sweatt,L,L,1988-09-21,Elburn,IL,USA,USA,72,190,2007,2,38,20112012,N,3,0,0,0
Lee Sweatt,R,D,1985-08-13,Elburn,IL,USA,USA,69,195,--,--,--,20102011,N,3,1,1,2
Darryl Sydor,L,D,1972-05-13,Edmonton,AB,CAN,CAN,73,211,1990,1,7,19911992,N,47,0,8,8
Petr Sykora,L,R,1976-11-19,Plzen,--,CZE,CZE,72,190,1995,1,18,19951996,N,96,23,24,47
Danny Syvret,L,D,1985-06-13,Millgrove,ON,CAN,CAN,72,205,2005,3,81,20052006,N,31,3,3,6
Paul Szczechura,R,C,1985-11-30,Brantford,ON,CAN,CAN,70,186,--,--,--,20082009,N,61,6,5,11
Jordan Szwarz,R,C,1991-05-14,Burlington,ON,CAN,CAN,71,192,2009,4,97,20132014,N,50,4,3,7
Jeff Taffe,L,L,1981-02-19,Hastings,MN,USA,USA,75,207,2000,1,30,20022003,N,27,1,3,4
Max Talbot,L,C,1984-02-11,Lemoyne,QC,CAN,CAN,71,186,2002,8,234,20052006,N,443,49,75,124
Henrik Tallinder,L,D,1979-01-10,Stockholm,--,SWE,SWE,76,209,1997,2,48,20012002,N,292,12,42,54
Jeff Tambellini,L,L,1984-04-13,Calgary,AB,CAN,CAN,71,186,2003,1,27,20052006,N,98,16,15,31
Brandon Tanev,L,L,1991-12-31,Toronto,ON,CAN,CAN,72,180,--,--,--,20152016,N,295,42,50,92
Christopher Tanev,R,D,1989-12-20,Toronto,ON,CAN,CAN,74,197,--,--,--,20102011,N,564,24,104,128
Eric Tangradi,L,L,1989-02-10,Philadelphia,PA,USA,USA,76,226,2007,2,42,20092010,N,150,5,11,16
Alex Tanguay,L,L,1979-11-21,Ste-Justine,QC,CAN,CAN,73,194,1998,1,12,19992000,N,429,90,193,283
Matt Taormina,L,D,1986-10-20,Warren,MI,USA,USA,70,188,--,--,--,20102011,N,59,4,8,12
Vladimir Tarasenko,L,R,1991-12-13,Yaroslavl,--,RUS,RUS,72,225,2010,1,16,20122013,N,530,218,224,442
Daniil Tarasov,L,R,1991-06-20,Moscow,--,RUS,RUS,72,185,--,--,--,20142015,N,5,0,1,1
Jamie Tardif,R,R,1985-01-23,Welland,ON,CAN,CAN,72,199,2003,4,112,20122013,N,2,0,0,0
Nick Tarnasky,L,L,1984-11-25,Rocky Mountain House,AB,CAN,CAN,74,230,2003,9,287,20052006,N,31,1,2,3
Tomas Tatar,L,L,1990-12-01,Ilava,--,SVK,SVK,70,173,2009,2,60,20102011,N,621,176,201,377
John Tavares,L,C,1990-09-20,Mississauga,ON,CAN,CAN,73,215,2009,1,1,20092010,N,866,362,453,815
Mattias Tedenby,L,R,1990-02-21,Vetlanda,--,SWE,SWE,69,175,2008,1,24,20102011,N,120,10,20,30
Matt Tennyson,R,D,1990-04-23,Minneapolis,MN,USA,USA,74,205,--,--,--,20122013,N,161,4,21,25
Teuvo Teravainen,L,L,1994-09-11,Helsinki,--,FIN,FIN,71,191,2012,1,18,20132014,N,445,95,206,301
Chris Terry,L,L,1989-04-07,Brampton,ON,CAN,CAN,70,191,2007,5,132,20122013,N,152,22,16,38
Troy Terry,R,R,1997-09-10,Denver,CO,USA,USA,72,180,2015,5,148,20172018,N,125,15,31,46
Colten Teubert,R,D,1990-03-08,White Rock,BC,CAN,CAN,76,195,2008,1,13,20112012,N,24,0,1,1
Josh Teves,L,D,1995-02-18,Calgary,AB,CAN,CAN,72,170,--,--,--,20182019,N,1,0,0,0
Alexandre Texier,L,C,1999-09-13,Saint-Martin-d'Hères,--,FRA,FRA,73,186,2017,2,45,20182019,N,87,11,18,29
Ryan Thang,R,L,1987-05-11,Chicago,IL,USA,USA,72,194,2007,3,81,20112012,N,1,0,0,0
Shea Theodore,L,D,1995-08-03,Langley,BC,CAN,CAN,74,195,2013,1,26,20152016,N,311,43,127,170
Ben Thomas,R,D,1996-05-28,Calgary,AB,CAN,CAN,73,187,2014,4,119,20202021,N,4,0,0,0
Bill Thomas,R,R,1983-06-20,Pittsburgh,PA,USA,USA,73,185,--,--,--,20052006,N,31,5,3,8
Christian Thomas,R,L,1992-05-26,Toronto,ON,CAN,CAN,69,175,2010,2,40,20122013,N,27,1,2,3
Robert Thomas,R,C,1999-07-02,Aurora,ON,CAN,CAN,72,188,2017,1,20,20182019,N,162,22,64,86
Nate Thompson,L,C,1984-10-05,Anchorage,AK,USA,USA,73,205,2003,6,183,20062007,N,759,62,95,157
Paul Thompson,R,R,1988-11-30,Methuen,MA,USA,USA,73,201,--,--,--,20152016,N,24,0,3,3
Tage Thompson,R,R,1997-10-30,Phoenix,AZ,USA,USA,79,219,2016,1,26,20172018,N,142,17,16,33
Tyce Thompson,R,R,1999-07-12,Calgary,AB,CAN,CAN,73,178,2019,4,96,20202021,N,6,0,1,1
Ben Thomson,L,L,1993-01-16,Brampton,ON,CAN,CAN,75,205,2012,4,96,20162017,N,3,0,0,0
Chris Thorburn,R,R,1983-06-03,Sault Ste. Marie,ON,CAN,CAN,75,235,2001,2,50,20052006,N,605,38,57,95
Joe Thornton,L,C,1979-07-02,London,ON,CAN,CAN,76,220,1997,1,1,19971998,N,840,160,525,685
Shawn Thornton,R,L,1977-07-23,Oshawa,ON,CAN,CAN,74,217,1997,7,190,20022003,N,489,28,44,72
Andreas Thuresson,R,R,1987-11-18,Kristianstad,--,SWE,SWE,73,206,2007,5,144,20092010,N,25,1,2,3
Calvin Thurkauf,L,C,1997-06-27,Zug,--,CHE,CHE,74,204,2016,7,185,20192020,N,3,0,0,0
Chris Tierney,L,C,1994-07-01,Keswick,ON,CAN,CAN,73,204,2012,2,55,20142015,N,488,67,140,207
Viktor Tikhonov,R,R,1988-05-12,Riga,--,LVA,RUS,74,189,2008,1,28,20082009,N,50,3,3,6
Dmytro Timashov,L,L,1996-10-01,Kirovograd,--,UKR,UKR,70,198,2015,5,125,20192020,N,45,4,5,9
Conor Timmins,R,D,1998-09-18,St. Catharines,ON,CAN,CAN,74,185,2017,2,32,20192020,N,26,0,3,3
Scott Timmins,L,C,1989-09-11,Hamilton,ON,CAN,CAN,71,191,2009,6,164,20102011,N,24,1,0,1
Kimmo Timonen,L,D,1975-03-18,Kuopio,--,FIN,FIN,70,194,1993,10,250,19981999,N,378,27,156,183
Jarred Tinordi,L,D,1992-02-20,MILLERSVILLE,MD,USA,USA,78,205,2010,1,22,20122013,N,101,1,10,11
Owen Tippett,R,R,1999-02-16,Peterborough,ON,CAN,CAN,73,207,2017,1,10,20172018,N,50,8,10,18
Brady Tkachuk,L,L,1999-09-16,Scottsdale,AZ,USA,USA,76,211,2018,1,4,20182019,N,194,59,64,123
Keith Tkachuk,L,L,1972-03-28,Melrose,MA,USA,USA,74,235,1990,1,19,19911992,N,67,13,19,32
Matthew Tkachuk,L,L,1997-12-11,Scottsdale,AZ,USA,USA,74,202,2016,1,6,20162017,N,343,104,165,269
Jiri Tlusty,L,L,1988-03-16,Slany,--,CZE,CZE,72,205,2006,1,13,20072008,N,374,79,78,157
Devon Toews,L,D,1994-02-21,Abbotsford,BC,CAN,CAN,73,191,2014,4,108,20182019,N,162,18,53,71
Jonathan Toews,L,C,1988-04-29,Winnipeg,MB,CAN,CAN,74,201,2006,1,3,20072008,N,797,287,405,692
Tyler Toffoli,R,C,1992-04-24,Scarborough,ON,CAN,CAN,72,198,2010,2,47,20122013,N,573,173,168,341
Sergey Tolchinsky,L,L,1995-02-03,Moscow,--,RUS,RUS,68,170,--,--,--,20152016,N,4,0,2,2
Ole-Kristian Tollefsen,L,D,1984-03-29,Oslo,--,NOR,NOR,74,211,2002,3,65,20052006,N,18,0,2,2
Eeli Tolvanen,L,R,1999-04-22,Vihti,--,FIN,FIN,70,191,2017,1,30,20172018,N,44,12,12,24
Dominic Toninato,L,C,1994-03-09,Duluth,MN,USA,USA,74,191,2012,5,126,20172018,N,85,5,9,14
Jordin Tootoo,R,R,1983-02-02,Churchill,MB,CAN,CAN,69,195,2001,4,98,20032004,N,419,39,61,100
Raffi Torres,L,L,1981-10-08,Toronto,ON,CAN,CAN,72,215,2000,1,5,20012002,N,277,58,56,114
Yakov Trenin,L,C,1997-01-13,Chelyabinsk,--,RUS,RUS,74,201,2015,2,55,20192020,N,63,7,9,16
Vincent Trocheck,R,C,1993-07-11,Pittsburgh,PA,USA,USA,70,183,2011,3,64,20132014,N,470,129,196,325
Corey Tropp,R,R,1989-07-25,Grosse Pointe Woods,MI,USA,USA,72,192,2007,3,89,20112012,N,149,6,21,27
Zach Trotman,R,D,1990-08-26,Carmel,IN,USA,USA,75,217,2010,7,210,20132014,N,91,3,10,13
Brock Trotter,R,L,1987-01-16,Brandon,MB,CAN,CAN,70,180,--,--,--,20092010,N,2,0,0,0
